Cusip,State,Description,Coupon,Maturity Date,Next Call Date,Moody's Rating,S&P Rating,Price Bid,Price Ask,Yield Bid,Ask Yield to Worst,Ask Yield to Maturity,Quantity Bid(min),Quantity Ask(min),Attributes
="89114QCP1","N/A","TORONTO DOMINION    BANK SER C MTN      0.75000% 01/06/2026 CALL MAKE WHOLE","0.750","01/06/2026","N/A","A1","A","90.975","91.072","3.575","3.543","3.543","500(2)","17(17)",IE SFP D 
="89236THW8","N/A","TOYOTA MTR CR CORP  SER B MTN           0.80000% 01/09/2026 CALL MAKE WHOLE","0.800","01/09/2026","N/A","A1","A+","92.199","92.438","3.220","3.142","3.142","250(10)","250(10)",IE SFP D 
="172967KG5","N/A","CITIGROUP INC       NOTE                3.70000% 01/12/2026","3.700","01/12/2026","N/A","A3","BBB+","99.904","100.132","3.729","3.658","3.658","250(10)","1,500(10)",IE SFP D 
="86562MCD0","N/A","SUMITOMO MITSUI FIN GRP INC NOTE        0.94800% 01/12/2026","0.948","01/12/2026","N/A","A1","A-","90.492","90.759","3.931","3.842","3.842","321(200)","1,000(200)",IE SFP D 
="254687FV3","N/A","DISNEY WALT CO      NOTE CALL MAKE WHOLE1.75000% 01/13/2026","1.750","01/13/2026","N/A","A2","BBB+","95.077","95.173","3.274","3.243","3.243","34(2)","250(10)",IE SFP D 
="500630CJ5","N/A","KOREA DEV BK        NOTE                3.00000% 01/13/2026","3.000","01/13/2026","--","AA2","AA","98.557","99.725","3.448","3.084","3.084","200(200)","200(200)",IE CP SFP 
="63254AAP3","N/A","NATIONAL AUSTRALIA  BK N Y BRH MTN      3.37500% 01/14/2026","3.375","01/14/2026","--","AA3","AA-","99.375","99.660","3.569","3.480","3.480","500(250)","1,000(250)",IE CP SFP D 
="24422EVK2","N/A","DEERE JOHN CAPITAL  CORP SER H MTN      0.70000% 01/15/2026","0.700","01/15/2026","--","A2","A","92.332","92.510","3.061","3.003","3.003","100(5)","200(5)",IE CP SFP D 
="26875PAP6","N/A","EOG RES INC         NOTE CALL MAKE WHOLE4.15000% 01/15/2026","4.150","01/15/2026","10/15/2025","A3","A-","102.223","102.552","3.411","3.303","3.359","500( 5)","350(2)",IE SFP D 
="46132FAD2","N/A","INVESCO FINANCE PLC NOTE CALL MAKE WHOLE3.75000% 01/15/2026","3.750","01/15/2026","N/A","A3","BBB+","99.691","100.103","3.846","3.717","3.717","100(10)","1,212(50)",IE SFP D 
="742718BH1","N/A","PROCTER &GAMBLE CO  BOND CALL MAKE WHOLE6.45000% 01/15/2026","6.450","01/15/2026","N/A","AA3","AA-","110.757","112.034","3.133","2.765","2.765","100(5)","7(7)",IE SFP D 
="828807CW5","N/A","SIMON PPTY GROUP LP NOTE CALL MAKE WHOLE3.30000% 01/15/2026","3.300","01/15/2026","10/15/2025","A3","A-","98.653","98.815","3.720","3.669","3.669","250(10)","6(6)",IE SFP D 
="91324PDW9","N/A","UNITEDHEALTH GROUP  INC NOTE            1.25000% 01/15/2026 CALL MAKE WHOLE","1.250","01/15/2026","12/15/2025","A3","A+","93.707","93.902","3.192","3.130","3.130","200(10)","500(2)",IE SFP D 
="927804FU3","N/A","VIRGINIA ELEC &PWR  CO SER 2016 SERIES A3.15000% 01/15/2026 NOTE CALL MAKE WHOLE","3.150","01/15/2026","10/15/2025","A2","BBB+","99.446","99.740","3.321","3.230","3.230","250(5)","250(10)",IE SFP D 
="95001DAS9","N/A","WELLS FARGO &CO     SER T MTN           1.50000% 01/17/2026","1.500","01/17/2026","10/17/2022","A1","BBB+","89.718","93.233","4.734","3.587","3.587","15(1)","3(3)",IE SFP D 
="22553QBJ5","N/A","CREDIT SUISSE AG    LONDON BRANCH MTN   4.62500% 01/19/2026","4.625","01/19/2026","01/19/2024","A2","--","95.718","100.880","6.005","4.000","4.349","100(1)","1,125(1)",IE SFP 
="78016EZM2","N/A","ROYAL BK CDA        SER H MTN 0.87500% 01/20/2026","0.875","01/20/2026","--","A1","A","91.275","91.431","3.578","3.527","3.527","380(9)","400(20)",IE CP SFP D 
="168863CA4","N/A","CHILE REP           NOTE                3.12500% 01/21/2026","3.125","01/21/2026","N/A","A1","A","97.529","98.456","3.894","3.603","3.603","1,000(200)","1,000(200)",IE SFP D 
="29446MAJ1","N/A","EQUINOR ASA         NOTE CALL MAKE WHOLE1.75000% 01/22/2026","1.750","01/22/2026","12/22/2025","AA2","AA-","95.306","95.329","3.191","3.184","3.184","250(5)","3(3)",IE SFP D 
="61746BDZ6","N/A","MORGAN STANLEY      SER F MTN           3.87500% 01/27/2026 CALL MAKE WHOLE","3.875","01/27/2026","N/A","A1","A-","100.695","100.816","3.660","3.623","3.623","500(15)","100(10)",IE SFP D 
="06406RAQ0","N/A","BANK NEW YORK MELLONCORP SER J MTN      0.75000% 01/28/2026","0.750","01/28/2026","12/29/2025","A1","A","91.599","92.000","3.324","3.195","3.195","250(1)","500(1)",IE SFP D 
="83369NPF1","N/A","SOCIETE GENERALE    MTN                 4.50000% 01/29/2026","4.500","01/29/2026","01/29/2023","A1","A","95.296","100.243","6.005","3.992","4.424","100(1)","140(1)",SFP 
="74005PBQ6","N/A","PRAXAIR INC         NOTE CALL MAKE WHOLE3.20000% 01/30/2026","3.200","01/30/2026","10/30/2025","A2","A","100.294","100.524","3.105","3.030","3.040","100(5)","250(2)",IE SFP D 
="842400GV9","N/A","SOUTHERN CALIF      EDISON CO SER 2020C 1.20000% 02/01/2026 BOND CALL MAKE WHOLE","1.200","02/01/2026","01/01/2026","A3","A-","91.504","91.791","3.822","3.729","3.729","100(5)","100(5)",IE SFP D 
="742718EP0","N/A","PROCTER &GAMBLE CO  NOTE CALL MAKE WHOLE2.70000% 02/02/2026","2.700","02/02/2026","N/A","AA3","AA-","100.020","100.162","2.694","2.651","2.651","413(2)","250(5)",IE SFP D 
="06367WZ89","N/A","BANK OF MONTREAL    SER F MTN           1.00000% 02/06/2026","1.000","02/06/2026","08/06/2022","A2","--","87.688","91.500","4.862","3.603","3.603","100(10)","67(5)",SFP D 
